n avg model
7310000 41.559880711354 41.508314536367
7320000 41.560368852459 41.510396108126
7330000 41.561277762619 41.512474763551
7340000 41.562553678474 41.514550510705
7350000 41.563492517007 41.516623357618
7360000 41.565827173913 41.518693312286
7370000 41.567839077341 41.520760382672
7380000 41.570631165312 41.522824576707
7390000 41.572390527740 41.524885902288
7400000 41.572896756757 41.526944367282
7410000 41.575983265857 41.528999979521
7420000 41.578420754717 41.531052746808
7430000 41.580208882907 41.533102676913
7440000 41.581894086022 41.535149777572
7450000 41.584249127517 41.537194056493
7460000 41.586528954424 41.539235521352
7470000 41.588602141901 41.541274179791
7480000 41.589858288770 41.543310039426
7490000 41.590996795728 41.545343107837
7500000 41.594266933333 41.547373392576
7510000 41.595370173103 41.549400901165
7520000 41.596523138298 41.551425641095
7530000 41.598358565737 41.553447619826
7540000 41.600284880637 41.555466844790
7550000 41.600700397351 41.557483323387
7560000 41.602703968254 41.559497062988
7570000 41.604635138705 41.561508070936
7580000 41.606948548813 41.563516354542
7590000 41.609547826087 41.565521921091
7600000 41.610723684211 41.567524777835
7610000 41.612597371879 41.569524932002
7620000 41.614719947507 41.571522390786
7630000 41.616745216252 41.573517161356
7640000 41.619147905759 41.575509250852
7650000 41.621937516340 41.577498666385
7660000 41.623789556136 41.579485415037
7670000 41.626074315515 41.581469503865
7680000 41.628111979167 41.583450939895
7690000 41.629532379714 41.585429730127
7700000 41.630748051948 41.587405881534
7710000 41.632075226978 41.589379401059
7720000 41.633531347150 41.591350295620
7730000 41.636186287193 41.593318572108
7740000 41.637799741602 41.595284237385
7750000 41.640416516129 41.597247298288
7760000 41.642386597938 41.599207761628
7770000 41.643792792793 41.601165634186
7780000 41.646213881748 41.603120922720
7790000 41.647415661104 41.605073633961
7800000 41.648071538462 41.607023774612
7810000 41.649859923175 41.608971351352
7820000 41.651197442455 41.610916370834
