n d
8065000 27
8070000 7
8075000 23
8080000 27
8085000 7
8090000 11
8095000 101
8100000 67
8105000 29
8110000 3
8115000 7
8120000 59
8125000 3
8130000 37
8135000 23
8140000 17
8145000 13
8150000 23
8155000 3
8160000 31
8165000 53
8170000 69
8175000 31
8180000 11
8185000 23
8190000 7
8195000 107
8200000 57
8205000 37
8210000 11
8215000 3
8220000 97
8225000 41
8230000 47
8235000 37
8240000 47
8245000 21
8250000 127
8255000 23
8260000 3
8265000 103
8270000 113
8275000 71
8280000 7
8285000 113
8290000 21
8295000 19
8300000 41
8305000 177
8310000 19
8315000 11
8320000 239
8325000 7
8330000 53
8335000 27
8340000 79
8345000 11
8350000 3
8355000 31
8360000 23
8365000 47
8370000 7
8375000 11
8380000 3
8385000 13
8390000 47
8395000 3
8400000 7
8405000 17
8410000 251
8415000 13
8420000 23
8425000 3
8430000 13
8435000 71
8440000 87
8445000 163
8450000 23
8455000 23
8460000 37
8465000 53
8470000 3
8475000 13
8480000 11
8485000 27
8490000 31
8495000 41
8500000 11
8505000 7
8510000 11
8515000 51
8520000 103
8525000 17
8530000 57
8535000 7
8540000 23
8545000 17
8550000 37
8555000 23
8560000 3
8565000 67
8570000 29
8575000 51
8580000 7
8585000 11
8590000 203
8595000 7
8600000 17
8605000 27
8610000 7
8615000 53
8620000 3
8625000 13
8630000 23
8635000 29
8640000 31
8645000 11
8650000 27
8655000 79
8660000 11
8665000 3
8670000 13
8675000 11
8680000 53
8685000 109
8690000 149
8695000 27
8700000 7
8705000 11
8710000 69
8715000 7
8720000 23
8725000 41
8730000 13
8735000 161
8740000 3
8745000 7
8750000 23
8755000 33
8760000 31
8765000 41
8770000 101
8775000 43
8780000 47
8785000 27
8790000 13
8795000 23
8800000 39
8805000 7
8810000 29
8815000 89
8820000 7
8825000 23
8830000 27
8835000 19
8840000 11
8845000 159
8850000 43
8855000 17
8860000 59
8865000 103
8870000 341
8875000 27
8880000 31
8885000 17
8890000 27
8895000 19
8900000 53
8905000 29
8910000 7
8915000 11
8920000 3
8925000 7
8930000 17
8935000 39
8940000 79
8945000 29
8950000 17
8955000 19
8960000 59
8965000 3
8970000 73
8975000 17
8980000 33
8985000 13
8990000 41
8995000 23
9000000 13
9005000 53
9010000 3
9015000 13
9020000 29
9025000 27
9030000 37
9035000 11
9040000 29
9045000 31
9050000 119
9055000 57
9060000 37
9065000 47
9070000 3
9075000 67
9080000 11
9085000 197
9090000 31
9095000 23
9100000 27
9105000 7
9110000 53
9115000 33
9120000 19
9125000 47
9130000 41
9135000 97
9140000 17
9145000 57
9150000 19
9155000 11
9160000 33
9165000 7
9170000 11
9175000 29
9180000 43
9185000 83
9190000 27
9195000 37
9200000 11
9205000 3
9210000 43
9215000 83
9220000 89
9225000 7
9230000 23
9235000 21
9240000 19
9245000 11
9250000 141
9255000 13
9260000 47
9265000 347
9270000 97
9275000 89
9280000 3
9285000 13
9290000 17
9295000 63
9300000 67
9305000 41
9310000 101
9315000 7
9320000 11
9325000 3
9330000 7
9335000 107
9340000 3
9345000 7
9350000 53
9355000 107
9360000 97
9365000 77
9370000 3
9375000 13
9380000 11
9385000 87
9390000 163
9395000 17
9400000 149
9405000 13
9410000 161
9415000 3
9420000 7
9425000 23
9430000 111
9435000 7
9440000 17
9445000 11
9450000 7
9455000 29
9460000 141
9465000 19
9470000 11
9475000 3
9480000 7
9485000 11
9490000 197
9495000 127
9500000 59
9505000 27
9510000 13
9515000 23
9520000 33
9525000 7
9530000 23
9535000 41
9540000 19
9545000 17
9550000 3
9555000 31
9560000 17
9565000 51
9570000 13
9575000 11
9580000 29
9585000 13
9590000 29
9595000 3
9600000 37
9605000 41
9610000 21
9615000 37
9620000 17
9625000 197
9630000 73
