n mean median p90 p99 p999 max
2655000 40.95460000 22 95 302 662 1605
2665000 41.56140000 22 97 298 785 1109
2675000 41.22560000 22 95 310 771 1580
2685000 41.70460000 22 97 326 753 2186
2695000 41.14920000 22 96 298 695 1187
2705000 41.07260000 22 95 305 737 1607
2715000 41.34820000 22 97 304 753 1388
2725000 40.62060000 22 95 305 683 989
2735000 41.25160000 22 97 302 680 1322
2745000 41.60080000 22 97 302 674 2189
2755000 41.30400000 22 99 308 668 1199
2765000 41.93720000 22 98 314 734 2039
2775000 48.24100000 22 97 291 698 76043
2785000 41.70360000 22 98 323 725 2459
2795000 41.14880000 22 97 305 641 1208
2805000 42.01720000 22 97 317 701 1535
2815000 41.25900000 22 97 311 620 908
2825000 41.19700000 22 95 311 653 1208
2835000 41.25520000 22 97 308 689 1409
2845000 41.40900000 22 97 314 716 1037
2855000 41.23820000 22 96 317 689 1103
2865000 42.01780000 22 98 311 636 2333
2875000 41.75160000 22 95 302 737 2258
2885000 40.66820000 22 94 308 704 1142
2895000 41.26360000 22 95 314 662 1343
2905000 41.16480000 22 95 296 752 1094
2915000 41.55760000 22 95 311 758 1427
2925000 41.74480000 22 96 317 746 1355
2935000 41.02980000 22 95 305 785 1667
2945000 41.63600000 22 101 309 809 1424
2955000 41.44540000 22 95 307 743 1184
2965000 42.13620000 22 98 338 842 2234
2975000 40.91300000 22 98 290 597 1181
2985000 41.34100000 22 97 305 705 1103
2995000 40.60020000 22 95 293 701 1070
3005000 41.36020000 22 98 296 680 2342
3015000 41.18860000 22 95 302 698 1838
3025000 41.86920000 22 97 317 743 1439
3035000 41.19680000 22 97 303 683 977
3045000 40.90120000 22 95 287 716 1418
3055000 41.60040000 22 98 326 732 1394
3065000 41.59700000 22 97 302 845 1376
3075000 41.49880000 22 95 316 713 1964
3085000 41.83020000 22 99 293 647 1544
3095000 40.39240000 22 95 293 608 1283
3105000 41.64640000 22 101 303 701 1322
3115000 41.02860000 22 94 302 758 1136
3125000 41.26100000 22 98 302 701 1059
3135000 40.26820000 22 94 293 785 1094
3145000 41.91240000 22 97 308 842 1142
3155000 41.01380000 22 98 312 632 1436
3165000 48.72820000 22 97 338 674 67337
3175000 41.14740000 22 94 302 788 1145
3185000 41.70460000 22 94 314 800 1569
3195000 41.50660000 22 94 323 737 1817
3205000 41.30340000 22 102 294 751 1433
3215000 41.54840000 22 98 309 647 1031
3225000 42.22360000 22 96 320 773 1793
3235000 41.80260000 22 98 311 701 1691
3245000 41.89340000 22 95 331 725 1970
3255000 41.62540000 22 101 293 683 1046
3265000 41.20740000 22 95 293 800 1325
3275000 42.39520000 22 101 332 737 974
3285000 41.68000000 22 97 314 653 926
3295000 41.32680000 22 97 309 698 1172
3305000 41.06540000 22 98 296 638 1028
3315000 41.67820000 22 97 309 653 1460
3325000 41.37480000 22 95 302 816 1730
3335000 41.54780000 22 96 313 725 1436
3345000 42.15340000 22 97 326 746 1598
3355000 41.11500000 22 96 299 692 1658
3365000 41.91220000 22 98 305 680 3284
3375000 40.75960000 22 95 299 674 1082
3385000 41.63880000 22 96 312 678 1754
3395000 42.12320000 22 98 311 746 1451
3405000 42.11800000 22 99 311 761 1541
3415000 41.68860000 22 98 314 740 996
3425000 41.49680000 22 95 311 722 1544
