# largest_d
rank	n	d	H	d_score	log10_H_over_n	line
16	330034918	968651	559989873780054176	126776.723051	9.22962028272	330034918 = (559989873780054175)^3 + (-559989873780054176)^3 + (568979354947828)^3 + (-568979353979177)^3
17	10996744	807311	14454117963107	120124.382916	6.1187274798	10996744 = (14454117963106)^3 + (-14454117963107)^3 + (16087259116)^3 + (-16086451805)^3
18	298597495	908216	219279797768402593457926223666399300349914982426800	119274.055114	41.865912462	298597495 = (-219279797768402593457926223666399300349914982426800)^3 + (219279797768402593457926223666399300349914982426799)^3 + (230093339691800569605866763881407448941152746641)^3 + (-230093339691800569605866763881407448941151838425)^3
19	22629712	808649	397618174861448066523104	116822.242843	16.2447872006	22629712 = (397618174861448066523103)^3 + (-397618174861448066523104)^3 + (-442166871289589823176)^3 + (442166871289590631825)^3
20	897151073	921662	26351981543	116693.833167	1.46794769676	897151073 = (26351981543)^3 + (-26351981542)^3 + (-27908599)^3 + (26986937)^3
# largest_log10_H_over_n
rank	n	d	H	d_score	log10_H_over_n	line
1	340984507	1248734	37057394133465447801216236003869785735054080417722051194147228873782670543045725176074545432018972643678218083788210789831419622347	163252.495814	122.03614023	340984507 = (37057394133465447801216236003869785735054080417722051194147228873782670543045725176074545432018972643678218083788210789831419622346)^3 + (-37057394133465447801216236003869785735054080417722051194147228873782670543045725176074545432018972643678218083788210789831419622347)^3 + (-33161938400372467141721505474292003140359034036997059982197929767723607785865629207639313899461431976791567671711428118443926711)^3 + (33161938400372467141721505474292003140359034036997059982197929767723607785865629207639313899461431976791567671711428118445175445)^3
2	936384844	5508491	307230620036198887600331929948719978247989064117127246230786295942	696481.657557	56.5160101216	936384844 = (307230620036198887600331929948719978247989064117127246230786295941)^3 + (-307230620036198887600331929948719978247989064117127246230786295942)^3 + (130902570640549046522477828192204284025431096946153142328348471)^3 + (-130902570640549046522477828192204284025431096946153142322839980)^3
3	139360442	473225	5607578357528964962071081101674265080640706781123584520717	63827.0540632	49.6046358358	139360442 = (-5607578357528964962071081101674265080640706781123584520716)^3 + (5607578357528964962071081101674265080640706781123584520717)^3 + (-8151574666965689584324278697388764999680753404221295899)^3 + (8151574666965689584324278697388764999680753404220822674)^3
4	812091910	1387697	986451037122694867425279271824287242944909678426117728996	176266.808707	48.0844703496	812091910 = (-986451037122694867425279271824287242944909678426117728996)^3 + (986451037122694867425279271824287242944909678426117728995)^3 + (837390845972702319308120654616405148044065589143954854)^3 + (-837390845972702319308120654616405148044065589142567157)^3
5	298597495	908216	219279797768402593457926223666399300349914982426800	119274.055114	41.865912462	298597495 = (-219279797768402593457926223666399300349914982426800)^3 + (219279797768402593457926223666399300349914982426799)^3 + (230093339691800569605866763881407448941152746641)^3 + (-230093339691800569605866763881407448941151838425)^3
6	243310568	676853	79259587476544464639335979653207214706386695786	89518.7332076	38.5128908351	243310568 = (79259587476544464639335979653207214706386695786)^3 + (-79259587476544464639335979653207214706386695785)^3 + (-96339553358378393365484948000710752861373414)^3 + (96339553358378393365484948000710752860696561)^3
7	28875326	218663	62789439812725369662290644318566142841670653	31285.5640063	36.3373597124	28875326 = (-62789439812725369662290644318566142841670652)^3 + (62789439812725369662290644318566142841670653)^3 + (-134276173738386201235856118303615671046199)^3 + (134276173738386201235856118303615670827536)^3
8	424484014	1890905	37008265096399390231005769596959474319560	245383.420332	31.9404373869	424484014 = (37008265096399390231005769596959474319559)^3 + (-37008265096399390231005769596959474319560)^3 + (26913109057467297459685856346096885007)^3 + (-26913109057467297459685856346094994102)^3
9	584188196	94217	23848391954260476017692586250063083	12097.2453796	25.6109063234	584188196 = (-23848391954260476017692586250063082)^3 + (23848391954260476017692586250063083)^3 + (77695249387095372852021003974753)^3 + (-77695249387095372852021004068970)^3
10	200441272	1539353	491320336729200999889914001555406	204969.634889	24.3893775907	200441272 = (491320336729200999889914001555405)^3 + (-491320336729200999889914001555406)^3 + (396000404567389433127786127294)^3 + (-396000404567389433127784587941)^3
11	280405580	73769	54622327742094706430685638031458	9708.83790494	23.289583552	280405580 = (-54622327742094706430685638031457)^3 + (54622327742094706430685638031458)^3 + (-201109809957434011832533890715)^3 + (201109809957434011832533816946)^3
12	776436395	326816	421646740043179111921477605590	41573.1085539	20.7348428624	776436395 = (-421646740043179111921477605589)^3 + (421646740043179111921477605590)^3 + (737559551946108889456332854)^3 + (-737559551946108889456659670)^3
13	300289262	305081	13360131266750645608565881598	40057.8821783	19.6482709226	300289262 = (-13360131266750645608565881597)^3 + (13360131266750645608565881598)^3 + (24188177369711233900599236)^3 + (-24188177369711233900904317)^3
14	553061282	92513	288669551246058614345442278	11899.9783263	17.7176277211	553061282 = (288669551246058614345442278)^3 + (-288669551246058614345442277)^3 + (-949072948545333204015433)^3 + (949072948545333203922920)^3
15	587597252	3089	277984923625888578080335646	396.544304581	17.6749414867	587597252 = (-277984923625888578080335645)^3 + (277984923625888578080335646)^3 + (5001638377194907810280105)^3 + (-5001638377194907810283194)^3
16	172116347	3042818	63747168714622448670036755	407337.623885	17.5686387806	172116347 = (-63747168714622448670036754)^3 + (63747168714622448670036755)^3 + (-36544574725988720884576)^3 + (36544574725988717841758)^3
17	46542353	425966	10306091098397125165992344	59828.561059	17.3452456412	46542353 = (-10306091098397125165992343)^3 + (10306091098397125165992344)^3 + (15790886396640858294572)^3 + (-15790886396640858720538)^3
18	984206885	1774796	184787828980728235750426328	224042.231822	17.2735869643	984206885 = (-184787828980728235750426327)^3 + (184787828980728235750426328)^3 + (-138707243914761671520133)^3 + (138707243914761669745337)^3
19	52131964	342161	3930792419978165577493262	47850.8832617	16.8773760232	52131964 = (-3930792419978165577493262)^3 + (3930792419978165577493261)^3 + (6719931663540170146471)^3 + (-6719931663540169804310)^3
20	22629712	808649	397618174861448066523104	116822.242843	16.2447872006	22629712 = (397618174861448066523103)^3 + (-397618174861448066523104)^3 + (-442166871289589823176)^3 + (442166871289590631825)^3
